compartimento,year,emigrants,emig_rate
ABRUZZI E MOLISE,1911,32025,22.47
ABRUZZI E MOLISE,1912,46502,32.63
ABRUZZI E MOLISE,1913,62038,43.53
ABRUZZI E MOLISE,1914,24095,16.91
ABRUZZI E MOLISE,1915,9324,6.54
ABRUZZI E MOLISE,1916,14297,10.03
ABRUZZI E MOLISE,1919,10286,7.22
ABRUZZI E MOLISE,1920,49795,34.94
ABRUZZI E MOLISE,1921,10499,7.36
BASILICATA,1911,10426,22.2
BASILICATA,1912,14868,31.67
BASILICATA,1913,16153,34.43
BASILICATA,1914,6563,14.0
BASILICATA,1915,2503,5.34
BASILICATA,1916,3238,6.91
BASILICATA,1919,4047,8.65
BASILICATA,1920,12324,26.37
BASILICATA,1921,5594,11.98
CALABRIE,1911,30382,21.85
CALABRIE,1912,47323,33.82
CALABRIE,1913,55910,39.71
CALABRIE,1914,24196,17.08
CALABRIE,1915,6489,4.55
CALABRIE,1916,7086,4.94
CALABRIE,1919,12159,8.32
CALABRIE,1920,51666,35.13
CALABRIE,1921,17037,11.52
CAMPANIA,1911,54149,16.44
CAMPANIA,1912,66939,20.19
CAMPANIA,1913,78633,23.56
CAMPANIA,1914,41039,12.21
CAMPANIA,1915,14542,4.3
CAMPANIA,1916,13625,4.0
CAMPANIA,1919,28874,8.31
CAMPANIA,1920,82779,23.66
CAMPANIA,1921,17221,4.89
EMILIA,1911,32459,12.11
EMILIA,1912,35763,13.22
EMILIA,1913,39134,14.33
EMILIA,1914,22850,8.29
EMILIA,1915,7684,2.76
EMILIA,1916,5640,2.01
EMILIA,1919,13568,4.71
EMILIA,1920,17719,6.09
EMILIA,1921,5592,1.91
LAZIO,1911,9121,6.96
LAZIO,1912,17873,13.45
LAZIO,1913,25962,19.27
LAZIO,1914,9640,7.05
LAZIO,1915,3761,2.71
LAZIO,1916,3480,2.48
LAZIO,1919,2807,1.92
LAZIO,1920,11109,7.5
LAZIO,1921,2124,1.42
LIGURIA,1911,7052,5.9
LIGURIA,1912,8866,7.35
LIGURIA,1913,9428,7.73
LIGURIA,1914,5759,4.67
LIGURIA,1915,4785,3.85
LIGURIA,1916,5794,4.61
LIGURIA,1919,13895,10.72
LIGURIA,1920,13011,9.94
LIGURIA,1921,4161,3.15
LOMBARDIA,1911,65069,13.6
LOMBARDIA,1912,75436,15.67
LOMBARDIA,1913,87133,17.98
LOMBARDIA,1914,60206,12.34
LOMBARDIA,1915,21879,4.46
LOMBARDIA,1916,14505,2.94
LOMBARDIA,1919,27788,5.52
LOMBARDIA,1920,47836,9.45
LOMBARDIA,1921,22050,4.33
MARCHE,1911,17232,15.78
MARCHE,1912,32427,29.55
MARCHE,1913,32069,29.09
MARCHE,1914,13484,12.18
MARCHE,1915,3376,3.03
MARCHE,1916,3007,2.69
MARCHE,1919,6105,5.39
MARCHE,1920,20119,17.68
MARCHE,1921,6701,5.86
PIEMONTE,1911,52335,15.34
PIEMONTE,1912,65244,19.15
PIEMONTE,1913,78663,23.11
PIEMONTE,1914,51725,15.21
PIEMONTE,1915,26731,7.87
PIEMONTE,1916,26094,7.69
PIEMONTE,1919,45448,13.44
PIEMONTE,1920,60539,17.92
PIEMONTE,1921,30391,9.01
PUGLIE,1911,20318,9.55
PUGLIE,1912,29189,13.62
PUGLIE,1913,41837,19.39
PUGLIE,1914,16979,7.81
PUGLIE,1915,5301,2.42
PUGLIE,1916,10923,4.95
PUGLIE,1919,8449,3.75
PUGLIE,1920,40361,17.84
PUGLIE,1921,6153,2.7
SARDEGNA,1911,5359,6.3
SARDEGNA,1912,9131,10.73
SARDEGNA,1913,12274,14.41
SARDEGNA,1914,5351,6.28
SARDEGNA,1915,937,1.1
SARDEGNA,1916,1128,1.32
SARDEGNA,1919,3573,4.18
SARDEGNA,1920,6621,7.74
SARDEGNA,1921,1102,1.29
SICILIA,1911,50789,13.97
SICILIA,1912,92788,25.25
SICILIA,1913,146061,39.33
SICILIA,1914,46610,12.42
SICILIA,1915,16169,4.27
SICILIA,1916,20073,5.24
SICILIA,1919,36476,9.24
SICILIA,1920,108718,27.28
SICILIA,1921,23082,5.74
TOSCANA,1911,37442,13.9
TOSCANA,1912,40939,15.13
TOSCANA,1913,45599,16.78
TOSCANA,1914,27750,10.17
TOSCANA,1915,9301,3.39
TOSCANA,1916,8883,3.22
TOSCANA,1919,20739,7.43
TOSCANA,1920,26208,9.35
TOSCANA,1921,10157,3.61
UMBRIA,1911,12098,17.69
UMBRIA,1912,14041,20.39
UMBRIA,1913,17851,25.73
UMBRIA,1914,8830,12.64
UMBRIA,1915,1553,2.21
UMBRIA,1916,1745,2.46
UMBRIA,1919,3627,5.01
UMBRIA,1920,5439,7.46
UMBRIA,1921,1448,1.97
VENETO,1911,97588,27.68
VENETO,1912,114117,31.99
VENETO,1913,123853,34.31
VENETO,1914,113964,31.21
VENETO,1915,11684,3.16
VENETO,1916,2846,0.76
VENETO,1919,15383,3.99
VENETO,1920,60367,15.46
VENETO,1921,26004,6.58
