COD_PROV,DEN_PROV,pop_residente_1961,fonte
1,Torino,1824254,tuttitalia.it (dati ISTAT)
4,Cuneo,536356,tuttitalia.it (dati ISTAT)
6,Alessandria,478613,tuttitalia.it (dati ISTAT)
10,Genova,1031091,tuttitalia.it (dati ISTAT)
12,Varese,581528,tuttitalia.it (dati ISTAT)
17,Brescia,882949,tuttitalia.it (dati ISTAT)
23,Verona,667517,tuttitalia.it (dati ISTAT)
24,Vicenza,615507,tuttitalia.it (dati ISTAT)
27,Venezia,749173,tuttitalia.it (dati ISTAT)
28,Padova,694017,tuttitalia.it (dati ISTAT)
36,Modena,511355,tuttitalia.it (dati ISTAT)
37,Bologna,841474,tuttitalia.it (dati ISTAT)
38,Ferrara,403218,tuttitalia.it (dati ISTAT)
56,Viterbo,263862,tuttitalia.it (dati ISTAT)
63,Napoli,2421243,tuttitalia.it (dati ISTAT)
64,Avellino,463671,tuttitalia.it (dati ISTAT)
73,Taranto,468713,tuttitalia.it (dati ISTAT)
81,Trapani,427672,tuttitalia.it (dati ISTAT)
82,Palermo,1111397,tuttitalia.it (dati ISTAT)
